course,preUni,totalCount,mean,min,max,mode,modeCount
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),2,3.685,3.58,3.79,[3.58 3.79],1
UP6421002 BACELOR SAINS BIOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.863,3.75,4.0,[3.75 3.84 4.  ],1
UP6421003 BACELOR SAINS BIOKIMIA DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),6,3.885,3.79,3.96,3.88,3
UP6421004 BACELOR SAINS MIKROBIOLOGI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,4.0,4.0,4.0,4.0,1
UP6421004 BACELOR SAINS MIKROBIOLOGI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),5,3.92,3.84,4.0,3.92,3
UP6421005 BACELOR SAINS BIOLOGI SEL DAN MOLEKUL DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4,3.588,3.58,3.59,3.59,3
UP6422001 BACELOR SAINS DAN TEKNOLOGI ALAM SEKITAR DENGAN KEPUJIAN,大马高等教育文凭 (STPM),6,3.32,3.0,3.92,3.0,3
UP6440001 BACELOR SAINS DALAM SAINS BAHAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),4,3.022,2.84,3.09,3.08,2
UP6440002 BACELOR SAINS DALAM SAINS INSTRUMENTASI DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,2.92,2.92,2.92,2.92,1
UP6442002 BACELOR SAINS KIMIA PERINDUSTRIAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.863,3.67,4.0,[3.67 3.92 4.  ],1
UP6442003 BACELOR SAINS KIMIA PETROLEUM DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.83,3.83,3.83,3.83,1
UP6461001 BACELOR SAINS MATEMATIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,4.0,4.0,4.0,4.0,1
UP6462001 BACELOR SAINS STATISTIK DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.95,3.95,3.95,3.95,1
UP6462001 BACELOR SAINS STATISTIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),11,3.947,3.83,4.0,3.96,6
UP6462001 BACELOR SAINS STATISTIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),1,3.84,3.84,3.84,3.84,1
UP6481001 BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.88,3.88,3.88,3.88,1
UP6481001 BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),1,3.9,3.9,3.9,3.9,1
UP6481001 BACELOR SAINS KOMPUTER (SISTEM KOMPUTER) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3,3.893,3.84,4.0,3.84,2
UP6481002 BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3,4.0,4.0,4.0,4.0,3
UP6481002 BACELOR SAINS KOMPUTER (MULTIMEDIA) DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2,3.71,3.67,3.75,[3.67 3.75],1
UP6481003 BACELOR KEJURUTERAAN PERISIAN DENGAN KEPUJIAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),1,3.97,3.97,3.97,3.97,1
UP6481003 BACELOR KEJURUTERAAN PERISIAN DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),12,4.0,4.0,4.0,4.0,12
