course,preUni,cgpa,count
UP6224001 BACELOR SASTERA BAHASA DAN LINGUISTIK INGGERIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.08,1
UP6224001 BACELOR SASTERA BAHASA DAN LINGUISTIK INGGERIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.83,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.58,1
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.67,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.75,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.84,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.92,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.0,4
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.08,1
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.25,2
UP6224002 BACELOR SASTERA PENGAJIAN BAHASA CINA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,3
UP6224004 BACELOR SASTERA KESUSASTERAAN INGGERIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6224005 BACELOR SASTERA PENGAJIAN BAHASA PERANCIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),2.92,1
UP6224005 BACELOR SASTERA PENGAJIAN BAHASA PERANCIS DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.09,1
UP6224006 BACELOR SASTERA PENGAJIAN BAHASA JERMAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.42,1
UP6312001 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.0,1
UP6312001 BACELOR SAINS PEMBANGUNAN MANUSIA DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.67,1
