course,preUni,cgpa,count
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.92,1
UP6640001 DOKTOR PERUBATAN VETERINAR,其他 (POLITEKNIK/ASASI/A-LEVEL 等),4.0,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.84,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.85,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),3.96,3
UP6640001 DOKTOR PERUBATAN VETERINAR,大学预科班 (MATRIKULASI),4.0,9
UP6640001 DOKTOR PERUBATAN VETERINAR,大马高等教育文凭 (STPM),3.84,1
UP6640001 DOKTOR PERUBATAN VETERINAR,大马高等教育文凭 (STPM),3.92,2
UP6640001 DOKTOR PERUBATAN VETERINAR,文凭(DIPLOMA),3.9619999999999997,1
UP6640001 DOKTOR PERUBATAN VETERINAR,文凭(DIPLOMA),3.97,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.96,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.9730000000000003,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),3.9989999999999997,1
UP6721001 DOKTOR PERUBATAN,其他 (POLITEKNIK/ASASI/A-LEVEL 等),4.0,4
UP6721001 DOKTOR PERUBATAN,大学预科班 (MATRIKULASI),3.96,1
UP6721001 DOKTOR PERUBATAN,大学预科班 (MATRIKULASI),4.0,6
UP6723001 BACELOR KEJURURAWATAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.09,1
UP6723001 BACELOR KEJURURAWATAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.17,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),3.96,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,5
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.25,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.33,1
UP6726001 BACELOR SAINS DIETETIK DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.5,1
UP6726002 BACELOR SAINS PEMAKANAN DAN KESIHATAN KOMUNITI DENGAN KEPUJIAN,大学预科班 (MATRIKULASI),4.0,8
UP6762001 BACELOR KAUNSELING DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.92,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.59,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.75,1
UP6862001 BACELOR SAINS KESIHATAN PERSEKITARAN DAN PEKERJAAN DENGAN KEPUJIAN,大马高等教育文凭 (STPM),3.84,2
